spring_constant,launch_angle,x0,time_to_target,final_vx,final_vy,target_x,target_y
19607679.22473389,54.99561487032058,-5312.7023609159305,32.383896529270494,119.4878509760268,-72.16447327451468,-4.999999999999905,8845.177424649792
26715324.83832338,50.52815812432353,-6963.633424511181,36.33926334885771,129.95532088806587,-100.62539129963017,-4.999999999999737,8846.35191293842
23377608.276645306,58.13693933502151,-6217.734764960405,41.26009015562185,104.21491377362402,-129.14143545935335,-4.999999999999931,8841.737284082164
26411442.937108755,53.622395757996614,-6963.633424511181,39.77924065734225,118.12661716387484,-121.10035458927965,-4.9999999999995985,8850.318098006466
26814083.17629931,47.413652583916935,-6667.402815980952,31.552554323767865,145.3283042268819,-68.7679841184011,-4.9999999999999325,8851.343634030025
26814083.17629931,47.413652583916935,-6667.402815980952,31.552554323767865,145.3283042268819,-68.7679841184011,-4.9999999999999325,8851.343634030025
26814083.17629931,47.413652593916936,-6667.402815980952,31.552554331025792,145.3283041956333,-68.76798415228026,-4.999999999999984,8851.343634812945
26814083.17629931,47.413652583916935,-6667.402815990952,31.552554323836674,145.32830422671236,-68.76798411899566,-4.999999999999938,8851.343634025294
26814083.17629931,47.413652583916935,-6667.402815980952,31.552554323767865,145.3283042268819,-68.7679841184011,-4.9999999999999325,8851.343634030025
26814083.17629931,47.413652593916936,-6667.402815980952,31.552554331025792,145.3283041956333,-68.76798415228026,-4.999999999999984,8851.343634812945
26814083.17629931,47.413652583916935,-6667.402815990952,31.552554323836674,145.32830422671236,-68.76798411899566,-4.999999999999938,8851.343634025294
